Code,ICP Metadata Note,Long Name,Income Group,ICP Participation,Region,Regional Program,Currency Unit,Special Notes,Table Name
AFG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Islamic State of Afghanistan,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,AFN: Afghani,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Afghanistan
ALB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Albania,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,ALL: Lek,,Albania
DZA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",People's Democratic Republic of Algeria,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Africa,DZD: Algerian Dinar,,Algeria
AND,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Principality of Andorra,,ICP 2021: Non-participation | Revised ICP 2017: Non-participation,,Non-participation,EUR: Euro,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Andorra
AGO,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",People's Republic of Angola,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,AOA: Kwanza,,Angola
AIA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Anguilla,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,Anguilla
ATG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Antigua and Barbuda,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,Antigua and Barbuda
ARG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Argentine Republic,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,ARS: Argentine Peso,,Argentina
ARM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Armenia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,AMD: Armenian Dram,,Armenia
ABW,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Aruba,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,AWG: Aruban Florin,,Aruba
